1	2	3	4	.	3
2	.	3	5	.	4
3	3	4	4	.	4
4	1	3	3	.	.
5	5	5	1	.	2
6	5	5	.	.	.
7	1	3	5	.	4
8	4	4	2	.	1
9	1	1	5	.	3
10	3	3	4	.	2
11	3	4	5	.	4
12	4	4	3	.	4
13	4	4	3	.	3
14	4	3	4	.	4
15	4	3	3	.	4
16	4	4	4	.	1
17	4	5	3	.	2
18	4	4	3	.	3
19	4	5	4	.	1
20	2	3	4	.	.
21	3	4	5	.	1
22	3	3	4	.	4
23	.	2	5	.	.
24	3	3	3	.	4
25	2	3	3	.	1
26	2	3	4	.	1
27	3	3	3	.	3
28	2	4	5	.	1
29	4	3	3	.	4
30	3	2	5	.	2
31	5	3	4	.	1
32	4	4	3	.	2
33	3	2	4	.	3
34	5	5	5	.	3
35	4	5	4	.	1
36	5	4	1	.	2
37	3	5	1	.	.
38	3	.	4	.	3
39	3	4	4	.	2
40	1	2	1	.	2
41	3	3	3	.	1
42	2	4	4	.	1
43	3	3	4	.	3
44	4	5	3	.	4
45	2	3	4	.	1
46	3	2	4	.	1
47	3	3	1	.	4
48	3	3	3	.	4
49	1	1	5	.	4
50	2	1	4	.	1
51	2	4	5	.	4
52	5	5	5	.	4
53	1	3	2	.	4
54	4	4	3	.	1
55	4	4	3	.	1
56	5	5	5	.	1
57	3	4	5	.	.
58	.	.	1	.	3
59	1	2	5	.	4
60	1	3	5	.	4
61	3	3	5	.	4
62	3	3	4	.	1
63	2	4	5	.	4
64	3	3	4	.	1
65	3	4	4	.	1
66	3	4	5	.	3
67	2	4	4	.	3
68	2	2	5	.	1
69	3	4	4	.	4
70	4	3	3	.	4
71	4	5	3	.	1
72	4	4	5	.	4
73	3	2	3	.	3
74	.	.	1	.	.
75	4	4	4	.	.
76	5	4	4	.	4
77	1	3	5	.	1
78	2	4	5	.	4
79	5	3	5	.	4
80	4	4	5	.	3
81	3	1	3	.	4
82	3	4	3	.	1
83	4	2	5	.	3
84	4	3	4	.	4
85	2	2	4	.	2
86	2	4	4	.	4
87	3	4	5	.	3
88	3	2	3	.	4
89	5	4	4	.	.
90	1	3	4	.	4
91	1	2	5	.	4
92	2	3	3	.	1
93	1	2	5	.	4
