1	-0.447	1.476	-0.689	0	-1.214	0.761	0.084	1	-1.471	0.936	0.029	1
2	-0.372	0.135	-0.505	1	-0.635	0.613	-0.402	0	-1.073	0.497	0.19	0
3	0.46	-0.657	-0.175	1	-0.478	-0.674	-0.175	0	-0.767	-0.675	0.323	1
4	0.217	0.826	-0.804	1	0.127	0.13	-0.055	0	0.149	-0.033	0.361	3
5	-0.187	0.112	1.205	3	-1.504	-0.161	0.458	1	-1.1	-0.003	0.13	0
6	-0.07	-1.889	0.928	0	.	.	.	.	0.476	-2.336	0.707	1
7	0.115	0.532	-1.32	2	0.758	0.496	-1.422	3	.	.	.	.
8	-0.93	-1.142	0.794	2	-0.766	-1.313	0.653	0	-1.487	-1.28	0.653	2
9	1.392	1.319	-1.422	4	.	.	.	.	1.021	1.43	-1.32	6
10	-0.362	0.102	-0.135	2	.	.	.	.	.	.	.	.
11	0.201	-0.285	-0.35	1	.	.	.	.	.	.	.	.
12	0.434	0.638	0.403	0	.	.	.	.	.	.	.	.
13	0.201	-0.053	0.323	2	.	.	.	.	.	.	.	.
14	-0.442	-0.17	0.237	5	.	.	.	.	.	.	.	.
15	-0.451	1.284	0.403	4	-0.729	1.548	-0.446	2	-0.469	1.488	-0.865	2
16	-0.361	-0.773	0.491	3	-0.382	-0.65	0.653	2	-0.163	-0.604	0.653	2
17	-0.656	-0.546	0.444	0	.	.	.	.	.	.	.	.
18	-0.685	-0.546	0.323	0	.	.	.	.	.	.	.	.
19	-0.442	0.169	0.491	0	.	.	.	.	.	.	.	.
20	0.181	1.062	-0.554	0	0.956	0.863	-1.054	1	0.928	0.984	-0.015	1
21	-0.258	-1.089	-0.088	3	-0.848	-0.66	0.442	4	-0.426	-0.443	-0.865	3
22	-0.144	0.506	-0.175	2	-0.347	0.333	-0.135	2	-0.081	0.459	-0.172	3
23	0.498	0.21	-0.402	2	.	.	.	.	.	.	.	.
24	0.429	-0.605	-0.015	2	-0.315	0.149	-0.446	2	0	-0.058	-0.015	2
